Number,Owned,Doubles,Type,Name,Country,Equipe,Fav?,Top 3
1,FALSE,,Logo,,,,,
2,FALSE,,Coureur,,,,,
3,FALSE,,Coureur,,,,,
4,FALSE,,Coureur,,,,,
5,FALSE,,Coureur,,,,,
6,FALSE,,Coureur,,,,,
7,FALSE,,Coureur,,,,,
8,FALSE,,Ville,,,,,
9,FALSE,,Ville,,,,,
T01,FALSE,,Instantané,,,,,
10,FALSE,,Ville,,,,,
T02,FALSE,,Instantané,,,,,
11,FALSE,,Ville,,,,,
T03,FALSE,,Instantané,,,,,
12,FALSE,,Ville,,,,,
T04,FALSE,,Instantané,,,,,
13,FALSE,,Ville,,,,,
T05,FALSE,,Instantané,,,,,
14,FALSE,,Ville,,,,,
T06,FALSE,,Instantané,,,,,
15,FALSE,,Ville,,,,,
T07,FALSE,,Instantané,,,,,
16,FALSE,,Ville,,,,,
T08,FALSE,,Instantané,,,,,
17,FALSE,,Ville,,,,,
T09,FALSE,,Instantané,,,,,
18,FALSE,,Ville,,,,,
T10,FALSE,,Instantané,,,,,
19,FALSE,,Ville,,,,,
T11,FALSE,,Instantané,,,,,
20,FALSE,,Ville,,,,,
T12,FALSE,,Instantané,,,,,
21,FALSE,,Ville,,,,,
T13,FALSE,,Instantané,,,,,
22,FALSE,,Ville,,,,,
T14,FALSE,,Instantané,,,,,
23,FALSE,,Ville,,,,,
T15,FALSE,,Instantané,,,,,
24,FALSE,,Ville,,,,,
T16,FALSE,,Instantané,,,,,
25,FALSE,,Ville,,,,,
T17,FALSE,,Instantané,,,,,
26,FALSE,,Ville,,,,,
T18,FALSE,,Instantané,,,,,
27,FALSE,,Ville,,,,,
T19,FALSE,,Instantané,,,,,
28,FALSE,,Ville,,,,,
T20,FALSE,,Instantané,,,,,
29,FALSE,,Ville,,,,,
T21,FALSE,,Instantané,,,,,
T22,FALSE,,Coureur,,,,,
T23,FALSE,,Coureur,,,,,
T24,FALSE,,Coureur,,,,,
T25,FALSE,,Coureur,,,,,
30,FALSE,,Coureur,,,ALPECIN-DECEUNINCK,,
31,FALSE,,Coureur,,,ALPECIN-DECEUNINCK,,
32,FALSE,,Coureur,,,ALPECIN-DECEUNINCK,,
33,FALSE,,Coureur,,,ALPECIN-DECEUNINCK,,
34,FALSE,,Logo,,,ALPECIN-DECEUNINCK,,
35,FALSE,,Equipe,,,ALPECIN-DECEUNINCK,,
36,FALSE,,Coureur,,,ALPECIN-DECEUNINCK,,
37,FALSE,,Coureur,,,ALPECIN-DECEUNINCK,,
38,FALSE,,Coureur,,,ALPECIN-DECEUNINCK,,
39,FALSE,,Coureur,,,ALPECIN-DECEUNINCK,,
40,FALSE,,Coureur,,,ALPECIN-DECEUNINCK,,
41,FALSE,,Coureur,,,ALPECIN-DECEUNINCK,,
42,FALSE,,Vélo,,,ALPECIN-DECEUNINCK,,
43,FALSE,,Maillot,,,ALPECIN-DECEUNINCK,,
44,FALSE,,Coureur,,,ARKEA-B&B HOTELS,,
45,FALSE,,Coureur,,,ARKEA-B&B HOTELS,,
46,FALSE,,Coureur,,,ARKEA-B&B HOTELS,,
47,FALSE,,Coureur,,,ARKEA-B&B HOTELS,,
48,FALSE,,Logo,,,ARKEA-B&B HOTELS,,
49,FALSE,,Equipe,,,ARKEA-B&B HOTELS,,
50,FALSE,,Coureur,,,ARKEA-B&B HOTELS,,
51,FALSE,,Coureur,,,ARKEA-B&B HOTELS,,
52,FALSE,,Coureur,,,ARKEA-B&B HOTELS,,
53,FALSE,,Coureur,,,ARKEA-B&B HOTELS,,
54,FALSE,,Coureur,,,ARKEA-B&B HOTELS,,
55,FALSE,,Coureur,,,ARKEA-B&B HOTELS,,
56,FALSE,,Vélo,,,ARKEA-B&B HOTELS,,
57,FALSE,,Maillot,,,ARKEA-B&B HOTELS,,
58,TRUE,,Coureur,Santiago Buitrago,COL,BAHRAIN VICTORIOUS,,
59,FALSE,,Coureur,,,BAHRAIN VICTORIOUS,,
60,FALSE,,Coureur,,,BAHRAIN VICTORIOUS,,
61,FALSE,,Coureur,,,BAHRAIN VICTORIOUS,,
62,FALSE,,Logo,,,BAHRAIN VICTORIOUS,,
63,FALSE,,Equipe,,,BAHRAIN VICTORIOUS,,
64,FALSE,,Coureur,,,BAHRAIN VICTORIOUS,,
65,FALSE,,Coureur,,,BAHRAIN VICTORIOUS,,
66,TRUE,,Coureur,Robert Stannard,AUS,BAHRAIN VICTORIOUS,,
67,TRUE,,Coureur,Pello Bilbao,ESP,BAHRAIN VICTORIOUS,,
68,FALSE,,Coureur,,,BAHRAIN VICTORIOUS,,
69,FALSE,,Coureur,,,BAHRAIN VICTORIOUS,,
70,FALSE,,Vélo,,,BAHRAIN VICTORIOUS,,
71,FALSE,,Maillot,,,BAHRAIN VICTORIOUS,,
72,FALSE,,Coureur,,,COFIDIS,,
73,FALSE,,Coureur,,,COFIDIS,,
74,FALSE,,Coureur,,,COFIDIS,,
75,FALSE,,Coureur,,,COFIDIS,,
76,FALSE,,Logo,,,COFIDIS,,
77,FALSE,,Equipe,,,COFIDIS,,
78,FALSE,,Coureur,,,COFIDIS,,
79,FALSE,,Coureur,,,COFIDIS,,
80,FALSE,,Coureur,,,COFIDIS,,
81,FALSE,,Coureur,,,COFIDIS,,
82,FALSE,,Coureur,,,COFIDIS,,
83,FALSE,,Coureur,,,COFIDIS,,
84,FALSE,,Vélo,,,COFIDIS,,
85,FALSE,,Maillot,,,COFIDIS,,
86,FALSE,,Coureur,,,DECATHLON AG2R LA MONDIALE TEAM,,
87,FALSE,,Coureur,,,DECATHLON AG2R LA MONDIALE TEAM,,
88,FALSE,,Coureur,,,DECATHLON AG2R LA MONDIALE TEAM,,
89,FALSE,,Coureur,,,DECATHLON AG2R LA MONDIALE TEAM,,
90,FALSE,,Logo,,,DECATHLON AG2R LA MONDIALE TEAM,,
91,FALSE,,Equipe,,,DECATHLON AG2R LA MONDIALE TEAM,,
92,FALSE,,Coureur,,,DECATHLON AG2R LA MONDIALE TEAM,,
93,FALSE,,Coureur,,,DECATHLON AG2R LA MONDIALE TEAM,,
94,FALSE,,Coureur,,,DECATHLON AG2R LA MONDIALE TEAM,,
95,FALSE,,Coureur,,,DECATHLON AG2R LA MONDIALE TEAM,,
96,FALSE,,Coureur,,,DECATHLON AG2R LA MONDIALE TEAM,,
97,FALSE,,Coureur,,,DECATHLON AG2R LA MONDIALE TEAM,,
98,FALSE,,Vélo,,,DECATHLON AG2R LA MONDIALE TEAM,,
99,FALSE,,Maillot,,,DECATHLON AG2R LA MONDIALE TEAM,,
100,FALSE,,Coureur,,,EF EDUCATION - EASYPOST,,
101,FALSE,,Coureur,,,EF EDUCATION - EASYPOST,,
102,TRUE,,Coureur,Alex Baudin,FRA,EF EDUCATION - EASYPOST,,2
103,FALSE,,Coureur,,,EF EDUCATION - EASYPOST,,
104,FALSE,,Logo,,,EF EDUCATION - EASYPOST,,
105,FALSE,,Equipe,,,EF EDUCATION - EASYPOST,,
106,FALSE,,Coureur,,,EF EDUCATION - EASYPOST,,
107,FALSE,,Coureur,,,EF EDUCATION - EASYPOST,,
108,FALSE,,Coureur,,,EF EDUCATION - EASYPOST,,
109,FALSE,,Coureur,,,EF EDUCATION - EASYPOST,,
110,FALSE,,Coureur,,,EF EDUCATION - EASYPOST,,
111,FALSE,,Coureur,,,EF EDUCATION - EASYPOST,,
112,FALSE,,Vélo,,,EF EDUCATION - EASYPOST,,
113,FALSE,,Maillot,,,EF EDUCATION - EASYPOST,,
114,FALSE,,Coureur,,,GROUPAMA-FDJ,,
115,FALSE,,Coureur,,,GROUPAMA-FDJ,,
116,FALSE,,Coureur,,,GROUPAMA-FDJ,,
117,FALSE,,Coureur,,,GROUPAMA-FDJ,,
118,FALSE,,Logo,,,GROUPAMA-FDJ,,
119,FALSE,,Equipe,,,GROUPAMA-FDJ,,
120,FALSE,,Coureur,,,GROUPAMA-FDJ,,
121,FALSE,,Coureur,,,GROUPAMA-FDJ,,
122,FALSE,,Coureur,,,GROUPAMA-FDJ,,
123,TRUE,,Coureur,Guillaume Martin,FRA,GROUPAMA-FDJ,⭐,1
124,FALSE,,Coureur,,,GROUPAMA-FDJ,,
125,FALSE,,Coureur,,,GROUPAMA-FDJ,,
126,FALSE,,Vélo,,,GROUPAMA-FDJ,,
127,FALSE,,Maillot,,,GROUPAMA-FDJ,,
128,FALSE,,Coureur,,,INEOS GRENADIERS,,
129,FALSE,,Coureur,,,INEOS GRENADIERS,,
130,FALSE,,Coureur,,,INEOS GRENADIERS,,
131,FALSE,,Coureur,,,INEOS GRENADIERS,,
132,FALSE,,Logo,,,INEOS GRENADIERS,,
133,FALSE,,Equipe,,,INEOS GRENADIERS,,
134,FALSE,,Coureur,,,INEOS GRENADIERS,,
135,FALSE,,Coureur,,,INEOS GRENADIERS,,
136,FALSE,,Coureur,,,INEOS GRENADIERS,,
137,FALSE,,Coureur,,,INEOS GRENADIERS,,
138,FALSE,,Coureur,,,INEOS GRENADIERS,,
139,FALSE,,Coureur,,,INEOS GRENADIERS,,
140,FALSE,,Vélo,,,INEOS GRENADIERS,,
141,FALSE,,Maillot,,,INEOS GRENADIERS,,
