Number,On a,Doubles,Type,Name,Country,Equipe,Packet,Fav?,Top 3
1,FALSE,,Logo,,,,,,
2,TRUE,,Coureur,Fredreico Bahamontes,,,5,,
3,FALSE,,Coureur,,,,,,
4,FALSE,,Coureur,,,,,,
5,FALSE,,Coureur,,,,,,
6,FALSE,,Coureur,,,,,,
7,TRUE,,Coureur,Alberto Contador,,,8,⭐,
8,TRUE,,Coureur,Carlos Sastre,,,3,,
9,TRUE,,Ville,Barcelone,,,21,,
10,TRUE,,Ville,Barcelone,,,19,⭐,
11,FALSE,,Ville,,,,,,
12,TRUE,,Ville,Les Angles,,,10,,
13,FALSE,,Ville,,,,,,
14,FALSE,,Ville,,,,,,
15,FALSE,,Ville,,,,,,
16,FALSE,,Ville,,,,,,
17,TRUE,,Ville,Perigueux,,,12,,
18,TRUE,,Ville,Ussel,,,2,,
19,TRUE,,Ville,Aurillac,,,1,,
20,FALSE,,Ville,,,,,,
21,TRUE,,Ville,Chalon sur Saone,,,10,,
22,FALSE,,Ville,,,,,,
23,FALSE,,Ville,,,,,,
24,FALSE,,Ville,,,,,,
25,TRUE,,Ville,Evian les Bains,,,15,,
26,TRUE,,Ville,Voiron,,,17,,
27,FALSE,,Ville,,,,,,
28,TRUE,,Ville,Alpe d'Huez,,,0,⭐,
29,FALSE,,Ville,,,,,,
30,TRUE,,Ville,Paris,,,25,⭐,
31,FALSE,,Logo,,,ALPECIN-PREMIER TECH,,,
32,TRUE,,Equipe,Team Alpecin,,ALPECIN-PREMIER TECH,13,,
33,TRUE,,Coureur,Mathieu Van der Poel,NED,ALPECIN-PREMIER TECH,23,⭐,3
34,FALSE,,Coureur,,,ALPECIN-PREMIER TECH,,,
35,FALSE,,Coureur,,,ALPECIN-PREMIER TECH,,,
36,FALSE,,Coureur,,,ALPECIN-PREMIER TECH,,,
37,FALSE,,Maillot,,,ALPECIN-PREMIER TECH,,,
38,FALSE,,Vélo,,,ALPECIN-PREMIER TECH,,,
39,FALSE,,Coureur,,,ALPECIN-PREMIER TECH,,,
40,FALSE,,Coureur,,,ALPECIN-PREMIER TECH,,,
41,FALSE,,Coureur,,,ALPECIN-PREMIER TECH,,,
42,FALSE,,Coureur,,,ALPECIN-PREMIER TECH,,,
43,TRUE,,Coureur,Edward Planckaert,BEL,ALPECIN-PREMIER TECH,1,,
44,TRUE,,Coureur,Florian Senechal,FRA,ALPECIN-PREMIER TECH,14,,
45,TRUE,,Logo,Logo Barhain,,BAHRAIN VICTORIOUS,15,,
46,FALSE,,Equipe,,,BAHRAIN VICTORIOUS,,,
47,FALSE,,Coureur,,,BAHRAIN VICTORIOUS,,,
48,FALSE,,Coureur,,,BAHRAIN VICTORIOUS,,,
49,FALSE,,Coureur,,,BAHRAIN VICTORIOUS,,,
50,FALSE,,Coureur,,,BAHRAIN VICTORIOUS,,,
51,TRUE,,Maillot,Maillot Bahrain,,BAHRAIN VICTORIOUS,2,,
52,FALSE,,Vélo,,,BAHRAIN VICTORIOUS,,,
53,TRUE,,Coureur,Pello Bilbao,ESP,BAHRAIN VICTORIOUS,8,,
54,FALSE,,Coureur,,,BAHRAIN VICTORIOUS,,,
55,TRUE,,Coureur,Kamil Gradek,POL,BAHRAIN VICTORIOUS,17,,
56,TRUE,,Coureur,Matej Mohoric,SVN,BAHRAIN VICTORIOUS,20,,
57,FALSE,,Coureur,,,BAHRAIN VICTORIOUS,,,
58,TRUE,,Coureur,Attila Valter,HUN,BAHRAIN VICTORIOUS,3,,
59,FALSE,,Logo,,,DECATHLON CMA CGM TEAM,,,
60,TRUE,,Equipe,Team Decathlon,,DECATHLON CMA CGM TEAM,16,⭐,
61,FALSE,,Coureur,,,DECATHLON CMA CGM TEAM,,,
62,TRUE,,Coureur,Paul Seixas,FRA,DECATHLON CMA CGM TEAM,22,⭐,1
63,TRUE,,Coureur,Tiesj Benoot,BEL,DECATHLON CMA CGM TEAM,9,,
64,TRUE,,Coureur,Stefan Bisseger,SUI,DECATHLON CMA CGM TEAM,21,,
65,FALSE,,Maillot,,,DECATHLON CMA CGM TEAM,,,
66,TRUE,,Vélo,Bike Decathlon,,DECATHLON CMA CGM TEAM,6,⭐,
67,FALSE,,Coureur,,,DECATHLON CMA CGM TEAM,,,
68,FALSE,,Coureur,,,DECATHLON CMA CGM TEAM,,,
69,TRUE,,Coureur,Cees Bol,NED,DECATHLON CMA CGM TEAM,11,,
70,FALSE,,Coureur,,,DECATHLON CMA CGM TEAM,,,
71,FALSE,,Coureur,,,DECATHLON CMA CGM TEAM,,,
72,FALSE,,Coureur,,,DECATHLON CMA CGM TEAM,,,
73,FALSE,,Logo,,,EF EDUCATION - EASYPOST,,,
74,FALSE,,Equipe,,,EF EDUCATION - EASYPOST,,,
75,TRUE,,Coureur,Richard Carapaz,ECU,EF EDUCATION - EASYPOST,11,⭐,
