Number,On a,Doubles,Type,Name,Country,Equipe,Packet,Fav?,Top 3
1,TRUE,,Logo,Logo TdF ,,,43,⭐,
2,TRUE,52,Coureur,Fredreico Bahamontes,,,5,,
3,TRUE,53,Coureur,Luis Ocana ,,,40,,
4,TRUE,,Coureur,Pedro Delgado,,,30,,
5,TRUE,,Coureur,Miguel Indurain ,,,62,⭐,
6,TRUE,,Coureur,Oscar Pereira,,,30,,
7,TRUE,47/55,Coureur,Alberto Contador,,,8,⭐,
8,TRUE,,Coureur,Carlos Sastre,,,3,,
9,TRUE,,Ville,Barcelone,,,21,,
10,TRUE,55,Ville,Barcelone,,,19,⭐,
T01,FALSE,,Instantané,,,,,,
11,TRUE,,Ville,Tarragone,,,30,,
T02,FALSE,,Instantané,,,,,,
12,TRUE,28,Ville,Les Angles,,,10,,
T03,FALSE,,Instantané,,,,,,
13,TRUE,62,Ville,Carcassonne,,,37,,
T04,FALSE,,Instantané,,,,,,
14,FALSE,,Ville,,,,,,
T05,FALSE,,Instantané,,,,,,
15,TRUE,,Ville,Pau,,,57,,
T06,FALSE,,Instantané,,,,,,
16,FALSE,,Ville,,,,,,
T07,FALSE,,Instantané,,,,,,
17,TRUE,70,Ville,Perigueux,,,12,,
T08,FALSE,,Instantané,,,,,,
18,TRUE,,Ville,Ussel,,,2,,
T09,FALSE,,Instantané,,,,,,
19,TRUE,35/51,Ville,Aurillac,,,1,,
T10,FALSE,,Instantané,,,,,,
20,TRUE,,Ville,Nevers,,,39,,
T11,FALSE,,Instantané,,,,,,
21,TRUE,65,Ville,Chalon sur Saone,,,10,,
T12,FALSE,,Instantané,,,,,,
22,TRUE,68/77,Ville,Belfort,,,29,,
T13,FALSE,,Instantané,,,,,,
23,TRUE,,Ville,Mulhouse,,,36,,
T14,FALSE,,Instantané,,,,,,
24,TRUE,,Ville,Champagnole,,,68,,
T15,FALSE,,Instantané,,,,,,
25,TRUE,67,Ville,Evian les Bains,,,15,,
T16,FALSE,,Instantané,,,,,,
26,TRUE,,Ville,Voiron,,,17,,
T17,FALSE,,Instantané,,,,,,
27,FALSE,,Ville,,,,,,
T18,FALSE,,Instantané,,,,,,
28,TRUE,56,Ville,Alpe d'Huez,,,0,⭐,
T19,FALSE,,Instantané,,,,,,
29,TRUE,,Ville,Le bourg d'Oisan,,,26,⭐,
T20,FALSE,,Instantané,,,,,,
30,TRUE,,Ville,Paris,,,25,⭐,
T21,FALSE,,Instantané,,,,,,
T22,FALSE,,Coureur,,,,,,
T23,FALSE,,Coureur,,,,,,
T24,FALSE,,Coureur,,,,,,
T25,FALSE,,Coureur,,,,,,
31,FALSE,,Logo,,,ALPECIN-PREMIER TECH,,,
32,TRUE,72,Equipe,Team Alpecin,,ALPECIN-PREMIER TECH,13,,
33,TRUE,,Coureur,Mathieu Van der Poel,NED,ALPECIN-PREMIER TECH,23,⭐,
34,TRUE,,Coureur,Tibor del grosso ,NED,ALPECIN-PREMIER TECH,40,,
35,TRUE,,Coureur,Silvan Dillier ,SUI,ALPECIN-PREMIER TECH,65,,
36,FALSE,,Coureur,,,ALPECIN-PREMIER TECH,,,
37,TRUE,,Maillot,Maillot Alpecin,,ALPECIN-PREMIER TECH,47,,
38,TRUE,,Vélo,Velo Alpecin,,ALPECIN-PREMIER TECH,75,,
39,TRUE,52/66,Coureur,Jasper Philipsen,BEL,ALPECIN-PREMIER TECH,31,⭐,
40,TRUE,,Coureur,Jonas Rickaert,BEL,ALPECIN-PREMIER TECH,64,,
41,FALSE,,Coureur,,,ALPECIN-PREMIER TECH,,,
42,TRUE,,Coureur,Emiel Verstrynge,BEL,ALPECIN-PREMIER TECH,26,,
43,TRUE,44/75,Coureur,Edward Planckaert,BEL,ALPECIN-PREMIER TECH,1,,
44,TRUE,54/76,Coureur,Florian Senechal,FRA,ALPECIN-PREMIER TECH,14,,
45,TRUE,56/62/72,Logo,Logo Barhain,,BAHRAIN VICTORIOUS,15,,
46,TRUE,,Equipe,Team Bahrain ,,BAHRAIN VICTORIOUS,65,,
47,TRUE,,Coureur,Antonio Tiberi,ITA,BAHRAIN VICTORIOUS,35,,
48,TRUE,,Coureur,Lenny Martinez,FRA,BAHRAIN VICTORIOUS,77,,
49,TRUE,,Coureur,Nikias Arndt,,BAHRAIN VICTORIOUS,56,,
50,TRUE,,Coureur,Phil Bauhaus ,GER,BAHRAIN VICTORIOUS,49,,
51,TRUE,,Maillot,Maillot Bahrain,,BAHRAIN VICTORIOUS,2,,
52,TRUE,61,Vélo,Velo Bahrain,,BAHRAIN VICTORIOUS,34,,
53,TRUE,38,Coureur,Pello Bilbao,ESP,BAHRAIN VICTORIOUS,8,,
54,FALSE,,Coureur,,,BAHRAIN VICTORIOUS,,,
55,TRUE,,Coureur,Kamil Gradek,POL,BAHRAIN VICTORIOUS,17,,
56,TRUE,,Coureur,Matej Mohoric,SVN,BAHRAIN VICTORIOUS,20,,
57,FALSE,,Coureur,,,BAHRAIN VICTORIOUS,,,
58,TRUE,,Coureur,Attila Valter,HUN,BAHRAIN VICTORIOUS,3,,
59,TRUE,,Logo,Logo Décathlon ,,DECATHLON CMA CGM TEAM,60,⭐,
60,TRUE,77,Equipe,Team Decathlon,,DECATHLON CMA CGM TEAM,16,⭐,
61,FALSE,,Coureur,,,DECATHLON CMA CGM TEAM,,,
62,TRUE,,Coureur,Paul Seixas,FRA,DECATHLON CMA CGM TEAM,22,⭐,2
63,TRUE,68,Coureur,Tiesj Benoot,BEL,DECATHLON CMA CGM TEAM,9,,
64,TRUE,73,Coureur,Stefan Bisseger,SUI,DECATHLON CMA CGM TEAM,21,,
65,FALSE,,Maillot,,,DECATHLON CMA CGM TEAM,,,
66,TRUE,,Vélo,Bike Decathlon,,DECATHLON CMA CGM TEAM,6,⭐,
67,FALSE,,Coureur,,,DECATHLON CMA CGM TEAM,,,
68,FALSE,,Coureur,,,DECATHLON CMA CGM TEAM,,,
69,TRUE,41,Coureur,Cees Bol,NED,DECATHLON CMA CGM TEAM,11,,
70,FALSE,,Coureur,,,DECATHLON CMA CGM TEAM,,,
71,TRUE,,Coureur,Nicolas Prodhomme ,FRA,DECATHLON CMA CGM TEAM,68,,
72,FALSE,,Coureur,,,DECATHLON CMA CGM TEAM,,,
73,TRUE,,Logo,Logo EF,,EF EDUCATION - EASYPOST,36,,
74,FALSE,,Equipe,,,EF EDUCATION - EASYPOST,,,
75,TRUE,63,Coureur,Richard Carapaz,ECU,EF EDUCATION - EASYPOST,11,⭐,
76,TRUE,58,Coureur,Ben Healy,IRL,EF EDUCATION - EASYPOST,1,⭐,
77,TRUE,61,Coureur,Alex Baudin,FRA,EF EDUCATION - EASYPOST,18,,
78,TRUE,,Coureur,Kasper Asgreen,DEN,EF EDUCATION - EASYPOST,36,,
79,TRUE,,Maillot,Maillot EF,,EF EDUCATION - EASYPOST,34,,
80,TRUE,46/58,Vélo,Velo EF,,EF EDUCATION - EASYPOST,34,,
81,FALSE,,Coureur,,,EF EDUCATION - EASYPOST,,,
82,FALSE,,Coureur,,,EF EDUCATION - EASYPOST,,,
83,TRUE,,Coureur,Harry Sweeny,AUS,EF EDUCATION - EASYPOST,14,⭐,
84,FALSE,,Coureur,,,EF EDUCATION - EASYPOST,,,
85,FALSE,,Coureur,,,EF EDUCATION - EASYPOST,,,
86,TRUE,74,Coureur,Mikkel,DEN,EF EDUCATION - EASYPOST,27,,
87,TRUE,74,Logo,Logo FDJ,,GROUPAMA - FDJ UNITED,7,,
88,TRUE,62,Equipe,Team Groupama,,GROUPAMA - FDJ UNITED,21,,
89,FALSE,,Coureur,,,GROUPAMA - FDJ UNITED,,,
90,TRUE,71,Coureur,Ewen Costiou,FRA,GROUPAMA - FDJ UNITED,7,,
91,TRUE,46,Coureur,David Gaudu,FRA,GROUPAMA - FDJ UNITED,34,⭐,
92,TRUE,,Coureur,Romain Grégoire ,,GROUPAMA - FDJ UNITED,52,⭐,
93,FALSE,,Maillot,,,GROUPAMA - FDJ UNITED,,,
94,TRUE,,Vélo,Vélo FDJ,,GROUPAMA - FDJ UNITED,4,,
95,TRUE,,Coureur,Thibaud Gruel ,FRA,GROUPAMA - FDJ UNITED,45,,
96,TRUE,,Coureur,Valentin Madouas ,FRA,GROUPAMA - FDJ UNITED,51,,
97,TRUE,43,Coureur,Guillaume Martin-Guyonnet,FRA,GROUPAMA - FDJ UNITED,28,⭐,
98,TRUE,,Coureur,Paul Penhoet,FRA,GROUPAMA - FDJ UNITED,17,,
99,TRUE,,Coureur,Brieuc Rolland,FRA,GROUPAMA - FDJ UNITED,76,,
100,TRUE,,Coureur,Bastien Tronchon,FRA,GROUPAMA - FDJ UNITED,71,,
101,TRUE,,Logo,Logo Ineos ,,INEOS GRENADIERS,55,,
102,TRUE,,Equipe,Team Ineos,,INEOS GRENADIERS,18,,
103,FALSE,,Coureur,,,INEOS GRENADIERS,,,
104,TRUE,,Coureur,Kevin Vauquelin,FRA,INEOS GRENADIERS,6,⭐,
105,TRUE,63,Coureur,Thymen Arensman,NED,INEOS GRENADIERS,34,⭐,
106,TRUE,,Coureur,Filippo Ganna,ITA,INEOS GRENADIERS,26,⭐,
107,TRUE,35,Maillot,Maillot Ineos,,INEOS GRENADIERS,19,,
108,FALSE,,Vélo,,,INEOS GRENADIERS,,,
109,FALSE,,Coureur,,,INEOS GRENADIERS,,,
110,TRUE,38/66,Coureur,Jack Haig,AUS,INEOS GRENADIERS,33,,
111,TRUE,49,Coureur,Michal Kwiatkowski,POL,INEOS GRENADIERS,0,,
112,TRUE,60,Coureur,Carlos Rodriguez ,ESP,INEOS GRENADIERS,41,,
113,TRUE,,Coureur,Josh Tarling,GBR,INEOS GRENADIERS,47,,
114,TRUE,54,Coureur,Sam Watson,GBR,INEOS GRENADIERS,7,,
115,TRUE,60,Logo,Logo Lidl ,,LIDL -TREK,39,,
116,TRUE,31/57/72,Equipe,Team Lidl,,LIDL -TREK,4,,
