Number,On a,Doubles,Type,Name,Country,Equipe,Fav?,Top 3
1,FALSE,,Logo,,,,,
2,TRUE,,Coureur,Fredreico Bahamontes,,,,
3,TRUE,,Coureur,Luis Ocana ,,,,
4,TRUE,,Coureur,Pedro Delgado,,,,
5,FALSE,,Coureur,,,,,
6,TRUE,,Coureur,Oscar Pereiro,,,,
7,TRUE,,Coureur,Alberto Contador,,,⭐,
8,TRUE,,Coureur,Carlos Sastre,,,,
9,TRUE,,Ville,Barcelone,,,,
10,TRUE,,Ville,Barcelone,,,⭐,
T01,FALSE,,Instantané,,,,,
11,TRUE,,Ville,Tarragone,,,,
T02,FALSE,,Instantané,,,,,
12,TRUE,28,Ville,Les Angles,,,,
T03,FALSE,,Instantané,,,,,
13,TRUE,,Ville,,,,,
T04,FALSE,,Instantané,Carcassonne,,,,
14,FALSE,,Ville,,,,,
T05,FALSE,,Instantané,,,,,
15,FALSE,,Ville,,,,,
T06,FALSE,,Instantané,,,,,
16,FALSE,,Ville,,,,,
T07,FALSE,,Instantané,,,,,
17,TRUE,,Ville,Perigueux,,,,
T08,FALSE,,Instantané,,,,,
18,TRUE,,Ville,Ussel,,,,
T09,FALSE,,Instantané,,,,,
19,TRUE,35,Ville,Aurillac,,,,
T10,FALSE,,Instantané,,,,,
20,TRUE,,Ville,Nevers,,,,
T11,FALSE,,Instantané,,,,,
21,TRUE,,Ville,Chalon sur Saone,,,,
T12,FALSE,,Instantané,,,,,
22,TRUE,,Ville,Belfort,,,,
T13,FALSE,,Instantané,,,,,
23,TRUE,,Ville,Mulhouse,,,,
T14,FALSE,,Instantané,,,,,
24,FALSE,,Ville,,,,,
T15,FALSE,,Instantané,,,,,
25,TRUE,,Ville,Evian les Bains,,,,
T16,FALSE,,Instantané,,,,,
26,TRUE,,Ville,Voiron,,,,
T17,FALSE,,Instantané,,,,,
27,FALSE,,Ville,,,,,
T18,FALSE,,Instantané,,,,,
28,TRUE,,Ville,Alpe d'Huez,,,⭐,
T19,FALSE,,Instantané,,,,,
29,TRUE,,Ville,Le bourg d'Oisan,,,⭐,
T20,FALSE,,Instantané,,,,,
30,TRUE,,Ville,Paris,,,⭐,
T21,FALSE,,Instantané,,,,,
T22,FALSE,,Coureur,,,,,
T23,FALSE,,Coureur,,,,,
T24,FALSE,,Coureur,,,,,
T25,FALSE,,Coureur,,,,,
31,FALSE,,Logo,,,ALPECIN-PREMIER TECH,,
32,TRUE,,Equipe,Team Alpecin,,ALPECIN-PREMIER TECH,,
33,TRUE,,Coureur,Mathieu Van der Poel,NED,ALPECIN-PREMIER TECH,⭐,
34,TRUE,,Coureur,Tibor del grosso ,NED,ALPECIN-PREMIER TECH,,
35,FALSE,,Coureur,,,ALPECIN-PREMIER TECH,,
36,FALSE,,Coureur,,,ALPECIN-PREMIER TECH,,
37,FALSE,,Maillot,,,ALPECIN-PREMIER TECH,,
38,FALSE,,Vélo,,,ALPECIN-PREMIER TECH,,
39,TRUE,,Coureur,Jasper Philipsen,BEL,ALPECIN-PREMIER TECH,⭐,
40,FALSE,,Coureur,,,ALPECIN-PREMIER TECH,,
41,FALSE,,Coureur,,,ALPECIN-PREMIER TECH,,
42,TRUE,,Coureur,Emiel Verstrynge,BEL,ALPECIN-PREMIER TECH,,
43,TRUE,,Coureur,Edward Planckaert,BEL,ALPECIN-PREMIER TECH,,
44,TRUE,,Coureur,Florian Senechal,FRA,ALPECIN-PREMIER TECH,,
45,TRUE,,Logo,Logo Barhain,,BAHRAIN VICTORIOUS,,
46,FALSE,,Equipe,,,BAHRAIN VICTORIOUS,,
47,TRUE,,Coureur,Antonio Tiberi,ITA,BAHRAIN VICTORIOUS,,
48,FALSE,,Coureur,,,BAHRAIN VICTORIOUS,,
49,FALSE,,Coureur,,,BAHRAIN VICTORIOUS,,
50,FALSE,,Coureur,,,BAHRAIN VICTORIOUS,,
51,TRUE,,Maillot,Maillot Bahrain,,BAHRAIN VICTORIOUS,,
52,TRUE,,Vélo,Velo Bahrain,,BAHRAIN VICTORIOUS,,
