Number,On a,Doubles,Type,Name,Country,Equipe,Fav?,Top 3
1,TRUE,,Logo,Logo TdF ,,,⭐,
2,TRUE,52,Coureur,Fredreico Bahamontes,,,,
3,TRUE,53,Coureur,Luis Ocana ,,,,
4,TRUE,,Coureur,Pedro Delgado,,,,
5,TRUE,,Coureur,Miguel Indurain ,,,⭐,
6,TRUE,,Coureur,Oscar Pereira,,,,
7,TRUE,47/55,Coureur,Alberto Contador,,,⭐,
8,TRUE,,Coureur,Carlos Sastre,,,,
9,TRUE,,Ville,Barcelone,,,,
10,TRUE,55/78,Ville,Barcelone,,,⭐,
T01,FALSE,,Instantané,,,,,
11,TRUE,,Ville,Tarragone,,,,
T02,FALSE,,Instantané,,,,,
12,TRUE,28,Ville,Les Angles,,,,
T03,FALSE,,Instantané,,,,,
13,TRUE,62/78,Ville,Carcassonne,,,,
T04,FALSE,,Instantané,,,,,
14,FALSE,,Ville,,,,,
T05,FALSE,,Instantané,,,,,
15,TRUE,,Ville,Pau,,,,
T06,FALSE,,Instantané,,,,,
16,FALSE,,Ville,,,,,
T07,FALSE,,Instantané,,,,,
17,TRUE,70,Ville,Perigueux,,,,
T08,FALSE,,Instantané,,,,,
18,TRUE,,Ville,Ussel,,,,
T09,FALSE,,Instantané,,,,,
19,TRUE,35/51,Ville,Aurillac,,,,
T10,FALSE,,Instantané,,,,,
20,TRUE,,Ville,Nevers,,,,
T11,FALSE,,Instantané,,,,,
21,TRUE,65,Ville,Chalon sur Saone,,,,
T12,FALSE,,Instantané,,,,,
22,TRUE,68/77,Ville,Belfort,,,,
T13,FALSE,,Instantané,,,,,
23,TRUE,,Ville,Mulhouse,,,,
T14,FALSE,,Instantané,,,,,
24,TRUE,,Ville,Champagnole,,,,
T15,FALSE,,Instantané,,,,,
25,TRUE,67,Ville,Evian les Bains,,,,
T16,FALSE,,Instantané,,,,,
26,TRUE,,Ville,Voiron,,,,
T17,FALSE,,Instantané,,,,,
27,FALSE,,Ville,,,,,
T18,FALSE,,Instantané,,,,,
28,TRUE,56,Ville,Alpe d'Huez,,,⭐,
T19,FALSE,,Instantané,,,,,
29,TRUE,,Ville,Le bourg d'Oisan,,,⭐,
T20,FALSE,,Instantané,,,,,
30,TRUE,,Ville,Paris,,,⭐,
T21,FALSE,,Instantané,,,,,
T22,FALSE,,Coureur,,,,,
T23,FALSE,,Coureur,,,,,
T24,FALSE,,Coureur,,,,,
T25,FALSE,,Coureur,,,,,
31,FALSE,,Logo,,,ALPECIN-PREMIER TECH,,
32,TRUE,72,Equipe,Team Alpecin,,ALPECIN-PREMIER TECH,,
33,TRUE,,Coureur,Mathieu Van der Poel,NED,ALPECIN-PREMIER TECH,⭐,
34,TRUE,,Coureur,Tibor del grosso ,NED,ALPECIN-PREMIER TECH,,
35,TRUE,,Coureur,Silvan Dillier ,SUI,ALPECIN-PREMIER TECH,,
36,FALSE,,Coureur,,,ALPECIN-PREMIER TECH,,
37,TRUE,,Maillot,Maillot Alpecin,,ALPECIN-PREMIER TECH,,
38,TRUE,,Vélo,Velo Alpecin,,ALPECIN-PREMIER TECH,,
39,TRUE,52/66,Coureur,Jasper Philipsen,BEL,ALPECIN-PREMIER TECH,⭐,
40,TRUE,,Coureur,Jonas Rickaert,BEL,ALPECIN-PREMIER TECH,,
41,FALSE,,Coureur,,,ALPECIN-PREMIER TECH,,
42,TRUE,,Coureur,Emiel Verstrynge,BEL,ALPECIN-PREMIER TECH,,
43,TRUE,44/75,Coureur,Edward Planckaert,BEL,ALPECIN-PREMIER TECH,,
44,TRUE,54/76,Coureur,Florian Senechal,FRA,ALPECIN-PREMIER TECH,,
45,TRUE,56/62/72,Logo,Logo Barhain,,BAHRAIN VICTORIOUS,,
46,TRUE,,Equipe,Team Bahrain ,,BAHRAIN VICTORIOUS,,
47,TRUE,,Coureur,Antonio Tiberi,ITA,BAHRAIN VICTORIOUS,,
48,TRUE,,Coureur,Lenny Martinez,FRA,BAHRAIN VICTORIOUS,,
49,TRUE,,Coureur,Nikias Arndt,,BAHRAIN VICTORIOUS,,
50,TRUE,,Coureur,Phil Bauhaus ,GER,BAHRAIN VICTORIOUS,,
51,TRUE,,Maillot,Maillot Bahrain,,BAHRAIN VICTORIOUS,,
52,TRUE,61,Vélo,Velo Bahrain,,BAHRAIN VICTORIOUS,,
53,TRUE,38,Coureur,Pello Bilbao,ESP,BAHRAIN VICTORIOUS,,
54,FALSE,,Coureur,,,BAHRAIN VICTORIOUS,,
55,TRUE,,Coureur,Kamil Gradek,POL,BAHRAIN VICTORIOUS,,
56,TRUE,,Coureur,Matej Mohoric,SVN,BAHRAIN VICTORIOUS,,
57,FALSE,,Coureur,,,BAHRAIN VICTORIOUS,,
58,TRUE,,Coureur,Attila Valter,HUN,BAHRAIN VICTORIOUS,,
59,TRUE,,Logo,Logo Décathlon ,,DECATHLON CMA CGM TEAM,⭐,
60,TRUE,77,Equipe,Team Decathlon,,DECATHLON CMA CGM TEAM,⭐,
61,FALSE,,Coureur,,,DECATHLON CMA CGM TEAM,,
62,TRUE,79,Coureur,Paul Seixas,FRA,DECATHLON CMA CGM TEAM,⭐,2
63,TRUE,68,Coureur,Tiesj Benoot,BEL,DECATHLON CMA CGM TEAM,,
64,TRUE,73,Coureur,Stefan Bisseger,SUI,DECATHLON CMA CGM TEAM,,
65,FALSE,,Maillot,,,DECATHLON CMA CGM TEAM,,
66,TRUE,,Vélo,Bike Decathlon,,DECATHLON CMA CGM TEAM,⭐,
67,FALSE,,Coureur,,,DECATHLON CMA CGM TEAM,,
68,FALSE,,Coureur,,,DECATHLON CMA CGM TEAM,,
69,TRUE,41,Coureur,Cees Bol,NED,DECATHLON CMA CGM TEAM,,
70,TRUE,,Coureur,Robbe Ghys,BEL,DECATHLON CMA CGM TEAM,,
71,TRUE,,Coureur,Nicolas Prodhomme ,FRA,DECATHLON CMA CGM TEAM,,
72,FALSE,,Coureur,,,DECATHLON CMA CGM TEAM,,
73,TRUE,,Logo,Logo EF,,EF EDUCATION - EASYPOST,,
74,FALSE,,Equipe,,,EF EDUCATION - EASYPOST,,
75,TRUE,63,Coureur,Richard Carapaz,ECU,EF EDUCATION - EASYPOST,⭐,
76,TRUE,58,Coureur,Ben Healy,IRL,EF EDUCATION - EASYPOST,⭐,
77,TRUE,61,Coureur,Alex Baudin,FRA,EF EDUCATION - EASYPOST,,
78,TRUE,,Coureur,Kasper Asgreen,DEN,EF EDUCATION - EASYPOST,,
79,TRUE,,Maillot,Maillot EF,,EF EDUCATION - EASYPOST,,
80,TRUE,46/58,Vélo,Velo EF,,EF EDUCATION - EASYPOST,,
81,FALSE,,Coureur,,,EF EDUCATION - EASYPOST,,
82,FALSE,,Coureur,,,EF EDUCATION - EASYPOST,,
83,TRUE,,Coureur,Harry Sweeny,AUS,EF EDUCATION - EASYPOST,⭐,
84,FALSE,,Coureur,,,EF EDUCATION - EASYPOST,,
85,FALSE,,Coureur,,,EF EDUCATION - EASYPOST,,
86,TRUE,74,Coureur,Mikkel,DEN,EF EDUCATION - EASYPOST,,
87,TRUE,74,Logo,Logo FDJ,,GROUPAMA - FDJ UNITED,,
88,TRUE,62,Equipe,Team Groupama,,GROUPAMA - FDJ UNITED,,
89,FALSE,,Coureur,,,GROUPAMA - FDJ UNITED,,
