Number,Owned,Doubles,Type,Name,Country,Equipe,Fav?,Top 3
1,FALSE,,Logo,,,,,
2,FALSE,,Ville,,,,,
3,FALSE,,Ville,,,,,
T01,FALSE,,Instantané,,,,,
4,FALSE,,Ville,,,,,
T02,FALSE,,Instantané,,,,,
5,FALSE,,Ville,,,,,
T03,FALSE,,Instantané,,,,,
6,FALSE,,Ville,,,,,
T04,FALSE,,Instantané,,,,,
7,FALSE,,Ville,,,,,
T05,FALSE,,Instantané,,,,,
8,FALSE,,Ville,,,,,
T06,FALSE,,Instantané,,,,,
9,FALSE,,Ville,,,,,
T07,FALSE,,Instantané,,,,,
10,FALSE,,Ville,,,,,
T08,FALSE,,Instantané,,,,,
11,FALSE,,Ville,,,,,
T09,FALSE,,Instantané,,,,,
12,FALSE,,Ville,,,,,
T10,FALSE,,Instantané,,,,,
13,FALSE,,Ville,,,,,
T11,FALSE,,Instantané,,,,,
14,FALSE,,Ville,,,,,
T12,FALSE,,Instantané,,,,,
15,FALSE,,Ville,,,,,
T13,FALSE,,Instantané,,,,,
16,FALSE,,Ville,,,,,
T14,FALSE,,Instantané,,,,,
17,FALSE,,Ville,,,,,
T15,FALSE,,Instantané,,,,,
18,FALSE,,Ville,,,,,
T16,FALSE,,Instantané,,,,,
19,FALSE,,Ville,,,,,
T17,FALSE,,Instantané,,,,,
20,FALSE,,Ville,,,,,
T18,FALSE,,Instantané,,,,,
21,TRUE,,Ville,Embrun,,,,
T19,FALSE,,Instantané,,,,,
22,FALSE,,Ville,,,,,
T20,FALSE,,Instantané,,,,,
23,FALSE,,Ville,,,,,
T21,FALSE,,Instantané,,,,,
T22,FALSE,,Coureur,,,,,
T23,FALSE,,Coureur,,,,,
T24,FALSE,,Coureur,,,,,
T25,FALSE,,Coureur,,,,,
24,FALSE,,Logo,,,ALPECIN-DECEUNINCK,,
25,FALSE,,,,,ALPECIN-DECEUNINCK,,
26,FALSE,,Coureur,,,ALPECIN-DECEUNINCK,,
27,TRUE,,Coureur,Kaden Groves,AUS,ALPECIN-DECEUNINCK,,
28,FALSE,,Coureur,,,ALPECIN-DECEUNINCK,,
29,FALSE,,Coureur,,,ALPECIN-DECEUNINCK,,
30,FALSE,,Coureur,,,ALPECIN-DECEUNINCK,,
31,FALSE,,Coureur,,,ALPECIN-DECEUNINCK,,
32,FALSE,,Coureur,,,ALPECIN-DECEUNINCK,,
33,FALSE,,Coureur,,,ALPECIN-DECEUNINCK,,
34,FALSE,,Coureur,,,ALPECIN-DECEUNINCK,,
35,TRUE,,Coureur,Gianni Vermeersch,BEL,ALPECIN-DECEUNINCK,,
36,FALSE,,,,,ALPECIN-DECEUNINCK,,
37,FALSE,,,,,ALPECIN-DECEUNINCK,,
38,FALSE,,Logo,,,ARKEA-B&B HOTELS,,
39,FALSE,,,,,ARKEA-B&B HOTELS,,
40,FALSE,,Coureur,,,ARKEA-B&B HOTELS,,
41,FALSE,,Coureur,,,ARKEA-B&B HOTELS,,
42,FALSE,,Coureur,,,ARKEA-B&B HOTELS,,
43,FALSE,,Coureur,,,ARKEA-B&B HOTELS,,
44,FALSE,,Coureur,,,ARKEA-B&B HOTELS,,
45,FALSE,,Coureur,,,ARKEA-B&B HOTELS,,
46,FALSE,,Coureur,,,ARKEA-B&B HOTELS,,
47,FALSE,,Coureur,,,ARKEA-B&B HOTELS,,
48,FALSE,,Coureur,,,ARKEA-B&B HOTELS,,
49,FALSE,,Coureur,,,ARKEA-B&B HOTELS,,
50,FALSE,,,,,ARKEA-B&B HOTELS,,
51,FALSE,,,,,ARKEA-B&B HOTELS,,
52,FALSE,,Logo,,,ASTANA QAZAQSTAN TEAM,,
53,TRUE,,Equipe,Team Astana,,ASTANA QAZAQSTAN TEAM,,
54,FALSE,,Coureur,,,ASTANA QAZAQSTAN TEAM,,
55,FALSE,,Coureur,,,ASTANA QAZAQSTAN TEAM,,
56,FALSE,,Coureur,,,ASTANA QAZAQSTAN TEAM,,
57,FALSE,,Coureur,,,ASTANA QAZAQSTAN TEAM,,
58,FALSE,,Coureur,,,ASTANA QAZAQSTAN TEAM,,
59,FALSE,,Coureur,,,ASTANA QAZAQSTAN TEAM,,
60,FALSE,,Coureur,,,ASTANA QAZAQSTAN TEAM,,
61,FALSE,,Coureur,,,ASTANA QAZAQSTAN TEAM,,
62,FALSE,,Coureur,,,ASTANA QAZAQSTAN TEAM,,
63,FALSE,,Coureur,,,ASTANA QAZAQSTAN TEAM,,
64,FALSE,,,,,ASTANA QAZAQSTAN TEAM,,
65,FALSE,,,,,ASTANA QAZAQSTAN TEAM,,
66,FALSE,,Logo,,,BAHRAIN VICTORIOUS,,
67,FALSE,,,,,BAHRAIN VICTORIOUS,,
68,FALSE,,Coureur,,,BAHRAIN VICTORIOUS,,
69,FALSE,,Coureur,,,BAHRAIN VICTORIOUS,,
70,FALSE,,Coureur,,,BAHRAIN VICTORIOUS,,
71,FALSE,,Coureur,,,BAHRAIN VICTORIOUS,,
72,FALSE,,Coureur,,,BAHRAIN VICTORIOUS,,
73,FALSE,,Coureur,,,BAHRAIN VICTORIOUS,,
74,FALSE,,Coureur,,,BAHRAIN VICTORIOUS,,
75,FALSE,,Coureur,,,BAHRAIN VICTORIOUS,,
76,FALSE,,Coureur,,,BAHRAIN VICTORIOUS,,
77,FALSE,,Coureur,,,BAHRAIN VICTORIOUS,,
78,FALSE,,,,,BAHRAIN VICTORIOUS,,
79,FALSE,,,,,BAHRAIN VICTORIOUS,,
80,FALSE,,Logo,,,BORA-HANSGROHE,,
81,FALSE,,,,,BORA-HANSGROHE,,
82,FALSE,,Coureur,,,BORA-HANSGROHE,,
83,FALSE,,Coureur,,,BORA-HANSGROHE,,
84,FALSE,,Coureur,,,BORA-HANSGROHE,,
85,FALSE,,Coureur,,,BORA-HANSGROHE,,
86,FALSE,,Coureur,,,BORA-HANSGROHE,,
87,FALSE,,Coureur,,,BORA-HANSGROHE,,
88,FALSE,,Coureur,,,BORA-HANSGROHE,,
89,FALSE,,Coureur,,,BORA-HANSGROHE,,
90,FALSE,,Coureur,,,BORA-HANSGROHE,,
91,FALSE,,Coureur,,,BORA-HANSGROHE,,
92,FALSE,,,,,BORA-HANSGROHE,,
93,FALSE,,,,,BORA-HANSGROHE,,
94,FALSE,,Logo,,,COFIDIS,,
95,FALSE,,,,,COFIDIS,,
96,FALSE,,Coureur,,,COFIDIS,,
97,FALSE,,Coureur,,,COFIDIS,,
98,FALSE,,Coureur,,,COFIDIS,,
99,FALSE,,Coureur,,,COFIDIS,,
100,FALSE,,Coureur,,,COFIDIS,,
101,FALSE,,Coureur,,,COFIDIS,,
102,FALSE,,Coureur,,,COFIDIS,,
103,FALSE,,Coureur,,,COFIDIS,,
104,FALSE,,Coureur,,,COFIDIS,,
105,FALSE,,Coureur,,,COFIDIS,,
