Number,Owned,Doubles,Type,Name,Country,Equipe,Fav?,Top 3
1,TRUE,,Logo,Logo TdF ,,,⭐,
2,TRUE,1,Coureur,Fredreico Bahamontes,,,,
3,TRUE,1,Coureur,Luis Ocana ,,,,
4,TRUE,2,Coureur,Pedro Delgado,,,,
5,TRUE,1,Coureur,Miguel Indurain ,,,⭐,
6,TRUE,,Coureur,Oscar Pereira,,,,
7,TRUE,3,Coureur,Alberto Contador,,,⭐,
8,TRUE,,Coureur,Carlos Sastre,,,,
9,TRUE,,Ville,Barcelone,,,,
10,TRUE,4,Ville,Barcelone,,,⭐,
T01,FALSE,,Instantané,,,,,
11,TRUE,1,Ville,Tarragone,,,,
T02,FALSE,,Instantané,,,,,
12,TRUE,1,Ville,Les Angles,,,,
T03,FALSE,,Instantané,,,,,
13,TRUE,3,Ville,Carcassonne,,,,
T04,FALSE,,Instantané,,,,,
14,FALSE,,Ville,,,,,
T05,FALSE,,Instantané,,,,,
15,TRUE,,Ville,Pau,,,,
T06,FALSE,,Instantané,,,,,
16,TRUE,,Ville,Bordeaux,,,,
T07,FALSE,,Instantané,,,,,
17,TRUE,2,Ville,Perigueux,,,,
T08,FALSE,,Instantané,,,,,
18,TRUE,1,Ville,Ussel,,,,
T09,FALSE,,Instantané,,,,,
19,TRUE,3,Ville,Aurillac,,,,
T10,FALSE,,Instantané,,,,,
20,TRUE,1,Ville,Nevers,,,,
T11,FALSE,,Instantané,,,,,
21,TRUE,1,Ville,Chalon sur Saone,,,,
T12,FALSE,,Instantané,,,,,
22,TRUE,2,Ville,Belfort,,,,
T13,FALSE,,Instantané,,,,,
23,TRUE,,Ville,Mulhouse,,,,
T14,FALSE,,Instantané,,,,,
24,TRUE,2,Ville,Champagnole,,,,
T15,FALSE,,Instantané,,,,,
25,TRUE,1,Ville,Evian les Bains,,,,
T16,FALSE,,Instantané,,,,,
26,TRUE,1,Ville,Voiron,,,,
T17,FALSE,,Instantané,,,,,
27,TRUE,1,Ville,Voiron,,,,
T18,FALSE,,Instantané,,,,,
28,TRUE,2,Ville,Alpe d'Huez,,,⭐,
T19,FALSE,,Instantané,,,,,
29,TRUE,,Ville,Le bourg d'Oisan,,,⭐,
T20,FALSE,,Instantané,,,,,
30,TRUE,1,Ville,Paris,,,⭐,
T21,FALSE,,Instantané,,,,,
T22,FALSE,,Instantané,,,,,
T23,FALSE,,Instantané,,,,,
T24,FALSE,,Instantané,,,,,
T25,FALSE,,Instantané,,,,,
31,TRUE,,Logo,Logo Alpecin,,ALPECIN-PREMIER TECH,,
32,TRUE,1,Equipe,Team Alpecin,,ALPECIN-PREMIER TECH,,
33,TRUE,,Coureur,Mathieu Van der Poel,NED,ALPECIN-PREMIER TECH,⭐,
34,TRUE,2,Coureur,Tibor del grosso ,NED,ALPECIN-PREMIER TECH,,
35,TRUE,1,Coureur,Silvan Dillier ,SUI,ALPECIN-PREMIER TECH,,
36,TRUE,1,Coureur,Kaden Groves,AUS,ALPECIN-PREMIER TECH,,
37,TRUE,1,Maillot,Maillot Alpecin,,ALPECIN-PREMIER TECH,,
38,TRUE,2,Vélo,Velo Alpecin,,ALPECIN-PREMIER TECH,,
39,TRUE,3,Coureur,Jasper Philipsen,BEL,ALPECIN-PREMIER TECH,⭐,2
40,TRUE,4,Coureur,Jonas Rickaert,BEL,ALPECIN-PREMIER TECH,,
41,TRUE,,Coureur,Oscar Riesebeek,NED,ALPECIN-PREMIER TECH,,
42,TRUE,,Coureur,Emiel Verstrynge,BEL,ALPECIN-PREMIER TECH,,
43,TRUE,3,Coureur,Edward Planckaert,BEL,ALPECIN-PREMIER TECH,,
44,TRUE,3,Coureur,Florian Senechal,FRA,ALPECIN-PREMIER TECH,,
45,TRUE,3,Logo,Logo Barhain,,BAHRAIN VICTORIOUS,,
46,TRUE,3,Equipe,Team Bahrain ,,BAHRAIN VICTORIOUS,,
47,TRUE,1,Coureur,Antonio Tiberi,ITA,BAHRAIN VICTORIOUS,,
48,TRUE,3,Coureur,Lenny Martinez,FRA,BAHRAIN VICTORIOUS,,
49,TRUE,2,Coureur,Nikias Arndt,,BAHRAIN VICTORIOUS,,
50,TRUE,3,Coureur,Phil Bauhaus ,GER,BAHRAIN VICTORIOUS,,
51,TRUE,2,Maillot,Maillot Bahrain,,BAHRAIN VICTORIOUS,,
52,TRUE,2,Vélo,Velo Bahrain,,BAHRAIN VICTORIOUS,,
53,TRUE,2,Coureur,Pello Bilbao,ESP,BAHRAIN VICTORIOUS,,
54,TRUE,1,Coureur,Damiano Caruso,ITA,BAHRAIN VICTORIOUS,,
55,TRUE,1,Coureur,Kamil Gradek,POL,BAHRAIN VICTORIOUS,,
56,TRUE,2,Coureur,Matej Mohoric,SVN,BAHRAIN VICTORIOUS,,
57,TRUE,,Coureur,Robert Stannard,AUS,BAHRAIN VICTORIOUS,,
58,TRUE,,Coureur,Attila Valter,HUN,BAHRAIN VICTORIOUS,,
59,TRUE,3,Logo,Logo Décathlon ,,DECATHLON CMA CGM TEAM,⭐,
60,TRUE,2,Equipe,Team Decathlon,,DECATHLON CMA CGM TEAM,⭐,
61,TRUE,,Coureur,Olav Kooij,NED,DECATHLON CMA CGM TEAM,,
62,TRUE,3,Coureur,Paul Seixas,FRA,DECATHLON CMA CGM TEAM,⭐,3
63,TRUE,2,Coureur,Tiesj Benoot,BEL,DECATHLON CMA CGM TEAM,,
