Number,Owned,Doubles,Type,Name,Country,Equipe,Fav?,Top 3
1,FALSE,,,,,,,
2,FALSE,,,,,,,
3,FALSE,,Ville,,,,,
T01,FALSE,,Instantané,,,,,
4,FALSE,,,,,,,
5,FALSE,,Ville,,,,,
T02,FALSE,,Instantané,,,,,
6,FALSE,,,,,,,
7,FALSE,,Ville,,,,,
T03,FALSE,,Instantané,,,,,
8,FALSE,,,,,,,
9,FALSE,,Ville,,,,,
T04,FALSE,,Instantané,,,,,
10,FALSE,,,,,,,
11,FALSE,,Ville,,,,,
T05,FALSE,,Instantané,,,,,
12,FALSE,,,,,,,
13,FALSE,,Ville,,,,,
T06,FALSE,,Instantané,,,,,
14,FALSE,,,,,,,
15,FALSE,,Ville,,,,,
T07,FALSE,,Instantané,,,,,
16,FALSE,,,,,,,
17,FALSE,,Ville,,,,,
T08,FALSE,,Instantané,,,,,
18,FALSE,,,,,,,
19,FALSE,,Ville,,,,,
T09,FALSE,,Instantané,,,,,
20,FALSE,,,,,,,
21,FALSE,,Ville,,,,,
T10,FALSE,,Instantané,,,,,
22,FALSE,,,,,,,
23,FALSE,,Ville,,,,,
T11,FALSE,,Instantané,,,,,
24,FALSE,,,,,,,
25,FALSE,,Ville,,,,,
T12,FALSE,,Instantané,,,,,
26,FALSE,,,,,,,
27,FALSE,,Ville,,,,,
T13,FALSE,,Instantané,,,,,
28,FALSE,,,,,,,
29,FALSE,,Ville,,,,,
T14,FALSE,,Instantané,,,,,
30,FALSE,,,,,,,
31,FALSE,,Ville,,,,,
T15,FALSE,,Instantané,,,,,
32,FALSE,,,,,,,
33,FALSE,,Ville,,,,,
T16,FALSE,,Instantané,,,,,
34,FALSE,,,,,,,
35,FALSE,,Ville,,,,,
T17,FALSE,,Instantané,,,,,
36,FALSE,,,,,,,
37,FALSE,,Ville,,,,,
T18,FALSE,,Instantané,,,,,
38,FALSE,,,,,,,
39,FALSE,,Ville,,,,,
T19,FALSE,,Instantané,,,,,
40,FALSE,,,,,,,
41,FALSE,,Ville,,,,,
T20,FALSE,,Instantané,,,,,
42,FALSE,,,,,,,
43,FALSE,,Ville,,,,,
T21,FALSE,,Instantané,,,,,
44,FALSE,,,,,,,
T22,FALSE,,Instantané,,,,,
T23,FALSE,,Instantané,,,,,
T24,FALSE,,Instantané,,,,,
T25,FALSE,,Instantané,,,,,
45,FALSE,,,,,AG2R CITROËN TEAM,,
46,FALSE,,,,,AG2R CITROËN TEAM,,
47,FALSE,,Coureur,,,AG2R CITROËN TEAM,,
