Number,Owned,Doubles,Type,Name,Country,Equipe,Fav?,Top 3
1,FALSE,,,,,,,
2,FALSE,,,,,,,
3,FALSE,,,,,,,
4,FALSE,,,,,,,
5,FALSE,,,,,,,
6,FALSE,,,,,,,
7,TRUE,,Ville,Copenhagen,,,⭐,
8,FALSE,,Ville,,,,,
T01,FALSE,,Instantané,,,,,
9,FALSE,,Ville,,,,,
T02,FALSE,,Instantané,,,,,
10,FALSE,,Ville,,,,,
T03,FALSE,,Instantané,,,,,
11,FALSE,,Ville,,,,,
T04,FALSE,,Instantané,,,,,
12,FALSE,,Ville,,,,,
T05,FALSE,,Instantané,,,,,
13,FALSE,,Ville,,,,,
14,FALSE,,Ville,,,,,
15,FALSE,,Ville,,,,,
T06,FALSE,,Instantané,,,,,
16,FALSE,,Ville,,,,,
T07,FALSE,,Instantané,,,,,
17,FALSE,,Ville,,,,,
18,FALSE,,Ville,,,,,
19,FALSE,,Ville,,,,,
T08,FALSE,,Instantané,,,,,
20,FALSE,,Ville,,,,,
T09,FALSE,,Instantané,,,,,
21,FALSE,,Ville,,,,,
T10,FALSE,,Instantané,,,,,
22,FALSE,,Ville,,,,,
T11,FALSE,,Instantané,,,,,
23,FALSE,,Ville,,,,,
24,FALSE,,Ville,,,,,
25,FALSE,,Ville,,,,,
26,FALSE,,Ville,,,,,
27,FALSE,,Ville,,,,,
T12,FALSE,,Instantané,,,,,
28,FALSE,,Ville,,,,,
T13,FALSE,,Instantané,,,,,
29,FALSE,,Ville,,,,,
T14,FALSE,,Instantané,,,,,
30,FALSE,,Ville,,,,,
T15,FALSE,,Instantané,,,,,
31,FALSE,,Ville,,,,,
T16,FALSE,,Instantané,,,,,
32,FALSE,,Ville,,,,,
T17,FALSE,,Instantané,,,,,
33,FALSE,,Ville,,,,,
34,FALSE,,Ville,,,,,
T18,FALSE,,Instantané,,,,,
35,FALSE,,Ville,,,,,
T19,FALSE,,Instantané,,,,,
36,FALSE,,Ville,,,,,
37,FALSE,,Ville,,,,,
38,FALSE,,Ville,,,,,
T20,FALSE,,Instantané,,,,,
39,FALSE,,Ville,,,,,
T21,FALSE,,Instantané,,,,,
T22,FALSE,,Instantané,,,,,
T23,FALSE,,Instantané,,,,,
T24,FALSE,,Instantané,,,,,
T25,FALSE,,Instantané,,,,,
40,FALSE,,,,,AG2R CITROËN TEAM,,
41,FALSE,,,,,AG2R CITROËN TEAM,,
42,FALSE,,Coureur,,,AG2R CITROËN TEAM,,
43,FALSE,,Coureur,,,AG2R CITROËN TEAM,,
